tempatpinjamuang.co.id,"HTTPSConnectionPool(host='tempatpinjamuang.co.id', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='tempatpinjamuang.co.id', port=80): Read timed out. (read timeout=2)"
tempo-tehnika.rs,"HTTPSConnectionPool(host='www.tempo-tehnika.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tempo-tehnika.rs', port=443): Read timed out. (read timeout=2)"
termania.net,"HTTPSConnectionPool(host='www.termania.net', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.termania.net', port=80): Read timed out. (read timeout=2)"
terrengsykkelforumet.no,"HTTPSConnectionPool(host='terrengsykkelforumet.no', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8743526a90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='terrengsykkelforumet.no', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f87449ca370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
terveystalo.com,"HTTPSConnectionPool(host='terveystalo.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.terveystalo.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))"
tesco.com,"HTTPSConnectionPool(host='www.tesco.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tesco.com', port=443): Read timed out. (read timeout=2)"
tesisenred.net,"HTTPSConnectionPool(host='tesisenred.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='tesisenred.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
textologia.ru,"HTTPSConnectionPool(host='textologia.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))","HTTPSConnectionPool(host='textologia.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))"
textopesen.ru,"HTTPSConnectionPool(host='textopesen.ru', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f874434c430>: Failed to establish a new connection: [Errno 113] No route to host'))","HTTPConnectionPool(host='textopesen.ru', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8742e3a280>, 'Connection to textopesen.ru timed out. (connect timeout=2)'))"
tff.org,"HTTPSConnectionPool(host='tff.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='tff.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
tg.ch,"HTTPSConnectionPool(host='tg.ch', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f87456f96d0>, 'Connection to tg.ch timed out. (connect timeout=2)'))","HTTPConnectionPool(host='tg.ch', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f874274d6a0>, 'Connection to tg.ch timed out. (connect timeout=2)'))"
tgy-magazin.hu,"HTTPSConnectionPool(host='tgy-magazin.hu', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8744db0190>, 'Connection to tgy-magazin.hu timed out. (connect timeout=2)'))","HTTPConnectionPool(host='tgy-magazin.hu', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8742755430>, 'Connection to tgy-magazin.hu timed out. (connect timeout=2)'))"
thaifranchisecenter.com,"HTTPSConnectionPool(host='thaifranchisecenter.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='thaifranchisecenter.com', port=80): Read timed out. (read timeout=2)"
thaigov.go.th,"HTTPSConnectionPool(host='thaigov.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8744f93c40>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='thaigov.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8743b4a670>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
thaihealth.or.th,"HTTPSConnectionPool(host='thaihealth.or.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.thaihealth.or.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
thaihomeonline.com,"HTTPSConnectionPool(host='thaihomeonline.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1131)')))","HTTPSConnectionPool(host='thaihomeonline.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1131)')))"
thailandexhibition.com,"HTTPSConnectionPool(host='thailandexhibition.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'thailandexhibition.com' doesn't match either of 'www.thailandexhibition.com', 'www.mindphotobook.com', 'www.print4demand.com', 'www.tnadvance.com'"")))","HTTPSConnectionPool(host='thailandexhibition.com', port=443): Read timed out. (read timeout=2)"
thailandtopvote.com,"HTTPSConnectionPool(host='www.thailandtopvote.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.thailandtopvote.com', port=443): Read timed out. (read timeout=2)"
thailandtourismdirectory.go.th,"HTTPSConnectionPool(host='thailandtourismdirectory.go.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))","HTTPSConnectionPool(host='thailandtourismdirectory.go.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))"
thaiphotos.net,"HTTPSConnectionPool(host='thaiphotos.net', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thaiphotos.net', port=443): Read timed out. (read timeout=2)"
thaiza.com,"HTTPSConnectionPool(host='thaiza.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.thaiza.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))"
thanhhoa.gov.vn,"HTTPSConnectionPool(host='thanhhoa.gov.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thanhhoa.gov.vn', port=443): Read timed out. (read timeout=2)"
thanhlapdn.vn,"HTTPSConnectionPool(host='thanhlapdn.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='thanhlapdn.vn', port=443): Read timed out. (read timeout=2)"
thanopoulos.gr,"HTTPSConnectionPool(host='www.thanopoulos.gr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.thanopoulos.gr', port=443): Read timed out. (read timeout=2)"
theaustralian.com.au,"HTTPSConnectionPool(host='www.theaustralian.com.au', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.theaustralian.com.au', port=443): Read timed out. (read timeout=2)"
thebodyshop.co.id,"HTTPSConnectionPool(host='www.thebodyshop.co.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.thebodyshop.co.id', port=443): Read timed out. (read timeout=2)"
